Nama_Rumah_Sakit,Long,Lat,Total_Kamar,Sisa_Kamar,Total_Dokter,Dokter_Siaga
Bunda Aliyah,106.84513,-6.21462,65,8,128,95
SamMarie Basra,106.84513,-6.21462,15,4,12,3
Islam Klender Jakarta,106.9331011,-6.221381411273796,50,5,72,0
Asta Nugraha,106.91376119852924,-6.2221374605530295,6,4,11,0
El Shama  (Tidak Operasional),106.78667,-6.23444,27,22,35,17
Bina Waluya,106.884,-6.2521,24,9,39,28
Resti Mulya,106.884,-6.2521,27,7,43,2
Dr. Cipto Mangunkusumo,106.8223,-6.1818,772,147,606,234
Fatmawati ,106.8135,-6.266,556,260,1099,748
Persahabatan ,106.884,-6.2521,420,250,466,276
Prof.Sulianti Saroso,106.8823,-6.1339,150,27,102,68
Dharmais,106.79791811497246,-6.186702638195507,388,99,686,434
Harapan Kita,106.79900030365953,-6.184684915752308,222,170,156,117
Dr.Soeharto Heerdjan,106.8065,-6.1969,241,214,292,91
Pusat Otak Nasional,106.884,-6.2521,116,70,134,95
Ketergantungan Obat,106.884,-6.2521,100,14,54,1
DR. Mintohardjo,106.84513,-6.21462,192,126,309,172
Gatot Soebroto,106.8223,-6.1818,499,173,913,22
Bhayangkara Sespimma Polri,106.7763902,-6.2606279,30,5,15,4
Dr. Suyoto  Pusrehab Kemhan,106.8135,-6.266,115,115,206,124
Rumkital Marinir Cilandak,106.8135,-6.266,158,144,178,29
Dik Pusdikkes Kodiklat TNI AD,106.8672839,-6.2736064,46,38,46,2
Bhayangkara Tk.I  R. Said Sukanto,106.884,-6.2521,165,138,206,111
Moh Ridwan Meuraksa,106.8787,-6.2803,131,0,180,144
Pusat Angkatan Udara Dr. Esnawan Antariksa,106.8787,-6.2803,139,105,212,118
Tingkat IV Cijantung Kesdam Jaya,106.884,-6.2521,63,46,66,62
Ladokgi TNI-AL R.E. Martadinata,106.8223,-6.1818,0,0,0,0
TNI - Angkatan Udara,106.8787,-6.2803,23,20,16,4
Pengayoman Cipinang,106.8795,-6.2184,188,183,182,157
Olahraga Nasional,106.888952,-6.3663628,44,41,64,55
Pertamina Jaya,106.87610535487508,-6.173040362910674,53,5,84,84
Pekerja,106.8823,-6.1339,29,0,27,10
Pelabuhan Jakarta,106.8823,-6.1339,130,48,255,51
Pelni,106.7673,-6.1676,460,78,230,135
Pusat Pertamina ,106.8135,-6.266,321,60,206,33
Aneka Tambang Medika (Antam Medika),106.90265928092188,-6.192089187958404,93,27,101,99
Tarakan,106.8223,-6.1818,369,214,594,191
Koja,106.8823,-6.1339,595,97,822,111
Cengkareng,106.72167,-6.14972,205,120,388,273
Pasar Minggu,106.8378,-6.2936,409,37,592,221
Budhi Asih ,68.26706,24.3539,381,217,558,318
Pasar Rebo,106.84513,-6.21462,271,19,416,252
Adhyaksa,106.884,-6.2521,53,13,87,33
Duren Sawit,106.84513,-6.21462,150,128,204,194
Kepulauan Seribu,106.6137136,-5.7457904,10,9,17,4
Tanah Abang,98.9088,3.4819,26,21,41,16
Cempaka Putih,106.8706655,-6.1856221,29,0,38,23
Johar Baru,106.8516678,-6.1812415,30,1,40,14
Kemayoran,106.8648321,-6.1564686,48,10,75,42
Sawah Besar,106.8336,-6.1529,27,24,15,2
Cilincing,106.8823,-6.1339,14,6,23,17
Tugu Koja,106.8823,-6.1339,19,15,29,28
Tanjung Priok,106.8840753,-6.115725,40,4,65,58
Pademangan,106.8366,-6.1369,20,6,24,16
Tamansari,106.8249,-6.1542,24,15,45,40
Kembangan,106.7673,-6.1676,11,9,19,12
Kalideres,106.705,-6.16861,20,9,31,12
Kebayoran Baru,106.8049,-6.2623,36,19,34,10
Kebayoran Lama,106.7868,-6.2487,35,13,47,7
Pesanggrahan,106.8135,-6.266,39,16,25,14
Jatipadang,106.8378,-6.2936,52,39,96,86
Jagakarsa,106.8214,-6.3341,17,1,15,10
Mampang Prapatan,106.84513,-6.21462,29,28,20,20
Tebet,106.8499,-6.2342,9,4,8,6
Matraman,106.8664744,-6.2058275,16,3,10,3
